CRT_XYS_vat_2D_10_CNN.pth, straight
Task, Current Time, X, Y, Z, Phi, Theta, Psi, X_Ref_Error, Y_Ref_Error, Z_Ref_Error, Phi_Ref_Error, Theta_Ref_Error, Psi_Ref_Error, X_Path_Error, Y_Path_Error, Z_Path_Error, Phi_Path_Error, Theta_Path_Error, Psi_Path_Error
REST, 12.0, [0.], [0.], [0.5], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.]
REST, 12.100000000000016, [0.], [0.], [0.5], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.]
REST, 12.200000000000031, [0.], [0.], [0.5], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.]
REST, 12.300000000000047, [0.], [0.], [0.5], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.]
REST, 12.400000000000063, [0.], [0.], [0.5], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.]
REST, 12.500000000000078, [0.], [0.], [0.5], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.]
REST, 12.600000000000094, [0.], [0.], [0.5], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.]
REST, 12.70000000000011, [0.], [0.], [0.5], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.], [0.]
REST, 12.800000000000125, [-0.00047639], [-7.73707418e-05], [0.5], [0.], [0.], [-0.000668], [0.00047639], [7.73707418e-05], [0.], [0.], [0.], [0.000668], [0.00047639], [7.73707418e-05], [0.], [0.], [0.], [0.000668]
REST, 12.90000000000014, [-0.00339398], [-0.00081227], [0.5], [0.], [0.], [-0.00332449], [0.00339398], [0.00081227], [0.], [0.], [0.], [0.00332449], [0.00339398], [0.00081227], [0.], [0.], [0.], [0.00332449]
REST, 13.000000000000156, [-0.00648745], [-0.0032529], [0.5], [0.], [0.], [-0.0078327], [0.00648745], [0.0032529], [0.], [0.], [0.], [0.0078327], [0.00648745], [0.0032529], [0.], [0.], [0.], [0.0078327]
REST, 13.100000000000172, [-0.00761782], [-0.0079507], [0.5], [0.], [0.], [-0.01508743], [0.00761782], [0.0079507], [0.], [0.], [0.], [0.01508743], [0.00761782], [0.0079507], [0.], [0.], [0.], [0.01508743]
REST, 13.200000000000188, [-0.00756816], [-0.01479093], [0.5], [0.], [0.], [-0.02552599], [0.00756816], [0.01479093], [0.], [0.], [0.], [0.02552599], [0.00756816], [0.01479093], [0.], [0.], [0.], [0.02552599]
REST, 13.300000000000203, [-0.0072958], [-0.02302803], [0.5], [0.], [0.], [-0.03448541], [0.0072958], [0.02302803], [0.], [0.], [0.], [0.03448541], [0.0072958], [0.02302803], [0.], [0.], [0.], [0.03448541]
REST, 13.400000000000219, [-0.00691243], [-0.03053335], [0.5], [0.], [0.], [-0.03657653], [0.00691243], [0.03053335], [0.], [0.], [0.], [0.03657653], [0.00691243], [0.03053335], [0.], [0.], [0.], [0.03657653]
REST, 13.500000000000234, [-0.00488172], [-0.03462803], [0.5], [0.], [0.], [-0.03523059], [0.00488172], [0.03462803], [0.], [0.], [0.], [0.03523059], [0.00488172], [0.03462803], [0.], [0.], [0.], [0.03523059]
REST, 13.60000000000025, [0.00017603], [-0.03488706], [0.5], [0.], [0.], [-0.03166087], [-0.00017603], [0.03488706], [0.], [0.], [0.], [0.03166087], [-0.00017603], [0.03488706], [0.], [0.], [0.], [0.03166087]
REST, 13.700000000000266, [0.00866038], [-0.02925601], [0.5], [0.], [0.], [-0.01550085], [-0.00866038], [0.02925601], [0.], [0.], [0.], [0.01550085], [-0.00866038], [0.02925601], [0.], [0.], [0.], [0.01550085]
REST, 13.800000000000281, [0.01804448], [-0.01606041], [0.5], [0.], [0.], [0.00453871], [-0.01804448], [0.01606041], [0.], [0.], [0.], [-0.00453871], [-0.01804448], [0.01606041], [0.], [0.], [0.], [-0.00453871]
REST, 13.900000000000297, [0.02452217], [0.00178929], [0.5], [0.], [0.], [0.02339905], [-0.02452217], [-0.00178929], [0.], [0.], [0.], [-0.02339905], [-0.02452217], [-0.00178929], [0.], [0.], [0.], [-0.02339905]
REST, 14.000000000000313, [0.02185375], [0.0156902], [0.5], [0.], [0.], [0.01971409], [-0.02185375], [-0.0156902], [0.], [0.], [0.], [-0.01971409], [-0.02185375], [-0.0156902], [0.], [0.], [0.], [-0.01971409]
REST, 14.100000000000328, [0.01372417], [0.01856595], [0.5], [0.], [0.], [0.0033657], [-0.01372417], [-0.01856595], [0.], [0.], [0.], [-0.0033657], [-0.01372417], [-0.01856595], [0.], [0.], [0.], [-0.0033657]
