,mean,median,variance,percent_completed,mean_completed
REST_LL,4.4931338656705595,4.4934724650909175,1.3165964729517012e-06,100.0,4.4931338656705595
TX_LL,3.1825884467280887,2.625742987182548,5.0997025224501344,97.36842105263158,2.8630448020481167
TX_N_LL,2.845696436581285,2.903238195875929,0.35591998719055473,100.0,2.845696436581285
TY_LL,2.7925268323858745,2.80821194815735,0.28621454773706423,100.0,2.7925268323858745
TY_N_LL,2.673983616471584,2.6008552521188903,0.45260847103289725,100.0,2.673983616471584
TZ_LL,2.115830305610069,1.4777438667820206,5.325913839396467,97.36842105263158,1.7674962570717243
TZ_N_LL,2.3438505405438383,2.1705687536400546,0.6328608485454733,100.0,2.3438505405438383
RX_LL,4.700566038620715,3.0485927870640808,14.463321903796523,89.1891891891892,3.451462031051368
RX_N_LL,3.7781657865960514,2.9937024125679272,6.511932355734828,97.36842105263158,3.4744818789427465
RY_LL,3.975148909481373,2.4282867794679532,13.147739863847182,94.73684210526315,3.3690807885470804
RY_N_LL,3.3174492447797572,2.113388220163415,9.688738051485046,94.73684210526315,2.6677322774417513
RZ_LL,3.706079361523507,3.213550002635202,4.853257469463094,97.36842105263158,3.400580751181076
RZ_N_LL,3.5350051448451363,3.575834565885998,0.5722756339311463,100.0,3.5350051448451363
TXY_PP_LL,3.9322557937897678,3.7206276092865664,1.4670913597568065,100.0,3.9322557937897678
TXY_NN_LL,3.701233680199302,3.2256918721138845,4.025277074942656,97.36842105263158,3.3956706562523102
TYZ_NP_LL,3.5630984183311334,3.1959247126142145,2.1475557633860047,100.0,3.5630984183311334
RXZ_PN_LL,5.084800361905416,4.236668157510394,6.10290917132486,97.36842105263158,4.8165661420391706
TXY_RZ_NPP_LL,4.5916416256706585,4.546167140521902,1.4287418404557466,100.0,4.5916416256706585
R_leader_LL,3.7007917381637823,3.3482186865794574,0.6756115568573632,100.0,3.7007917381637823
